benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
hamming_dist,12,6,6,0,0,13,8,1,100,92
poly_reg,2,0,0,0,0,2,4,1,2139,33
lin_reg,1,0,0,0,0,0,2,0,2066,0
l2_distance,5,6,0,0,0,6,7,0,76,42
dot_product,5,0,0,0,0,6,6,0,78,42
box_blur,112,0,6,0,0,6,17,0,1800,29
gx_kernel,125,0,95,0,0,95,15,1,37350,177
gy_kernel,219,0,155,0,0,155,16,1,30142,283
sobel,154,0,93,0,0,106,16,3,64983,507
roberts_cross,37,0,41,0,0,67,14,5,50666,1656
matrix_mul,52,0,6,0,0,60,13,1,40851,726
