benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
hamming_dist,25,13,13,0,0,26,15,1,104,182
poly_reg,5,0,1,0,0,6,5,2,4336,102
lin_reg,4,0,3,0,0,3,4,1,4137,3
l2_distance,12,13,0,0,0,13,14,0,81,180
dot_product,12,0,0,0,0,13,13,0,79,178
box_blur,529,0,26,0,0,26,37,0,8075,121
gx_kernel,415,0,310,0,0,310,35,2,148300,558
gy_kernel,915,0,566,0,0,566,35,1,140919,1023
sobel,585,0,373,0,0,426,36,3,331729,4217
roberts_cross,143,0,125,0,0,234,33,5,210076,8470
matrix_mul,425,0,26,0,0,240,40,1,204191,4225
