benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
hamming_dist,5,3,3,0,0,6,5,1,90,46
poly_reg,2,0,0,0,0,2,4,1,88,34
lin_reg,1,0,0,0,0,0,2,0,81,0
l2_distance,2,3,0,0,0,3,4,0,67,21
dot_product,2,0,0,0,0,3,3,0,71,21
box_blur,27,0,1,0,0,1,12,0,334,4
gx_kernel,36,0,30,0,0,30,10,1,7780,55
gy_kernel,44,0,34,0,0,34,11,1,7404,63
sobel,55,0,35,0,0,38,13,3,15376,160
roberts_cross,10,0,13,0,0,20,10,6,8968,643
matrix_mul,5,0,1,0,0,8,5,1,5277,92
