benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,4.0,1.0,0.0,3.0,1.0,3.0,9.0,2.0,9.481,0.589,293
max_4,8.0,1.0,0.0,3.0,3.0,7.0,11.0,3.0,11.784,1.201,262
max_5,12.0,2.0,0.0,5.0,4.0,12.0,15.0,4.0,149.936,2.039,229
sort_3,6.0,1.0,0.0,3.0,2.0,5.0,11.0,3.0,10.552,0.899,262
sort_4,35.0,1.0,0.0,5.0,13.0,26.0,21.0,6.0,522.043,4.093,163
box_blur_3,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,9.570,0.196,356
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,10.146,0.140,357
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.457,0.184,359
lin_reg_4,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,9.360,0.242,328
lin_reg_8,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,9.469,0.242,328
lin_reg_16,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,9.547,0.206,328
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,9.778,0.044,359
hamming_dist_3,3.0,1.0,0.0,3.0,0.0,2.0,8.0,2.0,9.552,0.443,295
hamming_dist_4,3.0,1.0,0.0,4.0,0.0,2.0,8.0,2.0,9.421,0.459,295
hamming_dist_5,5.0,2.0,1.0,3.0,0.0,5.0,10.0,2.0,10.391,0.787,295
hamming_dist_8,4.0,1.0,0.0,5.0,0.0,2.0,10.0,2.0,11.416,0.493,295
hamming_dist_16,5.0,1.0,0.0,6.0,0.0,2.0,12.0,2.0,29.736,0.533,294
hamming_dist_32,7.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,178.241,0.679,293
poly_reg_4,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,10.139,0.420,295
poly_reg_8,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,9.786,0.407,296
poly_reg_16,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,9.993,0.375,296
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.145,0.354,296
l2_distance_3,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,9.264,0.279,325
l2_distance_4,2.0,1.0,0.0,4.0,0.0,1.0,8.0,1.0,9.445,0.295,324
l2_distance_5,6.0,3.0,0.0,3.0,0.0,3.0,12.0,2.0,9.839,0.631,294
l2_distance_8,3.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,10.350,0.315,324
l2_distance_16,4.0,1.0,0.0,5.0,0.0,1.0,11.0,1.0,20.696,0.350,323
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,95.935,0.357,324
dot_product_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,9.661,0.245,327
dot_product_4,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,9.826,0.260,324
dot_product_5,4.0,0.0,0.0,3.0,0.0,3.0,9.0,2.0,12.961,0.593,294
dot_product_8,3.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,9.864,0.292,322
dot_product_16,4.0,0.0,0.0,5.0,0.0,1.0,10.0,1.0,11.068,0.331,322
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,20.492,0.352,325
gx_kernel_3,6.0,0.0,2.0,1.0,2.0,4.0,8.0,2.0,9.463,0.517,303
gx_kernel_4,4.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,10.743,0.423,327
gx_kernel_5,5.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,10.646,0.300,329
gy_kernel_3,3.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,9.680,0.441,328
gy_kernel_4,3.0,0.0,0.0,1.0,3.0,3.0,6.0,1.0,10.591,0.535,327
gy_kernel_5,6.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,11.322,0.868,327
roberts_cross_3,3.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,9.786,0.482,324
roberts_cross_4,3.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,10.363,0.409,325
roberts_cross_5,4.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,11.681,0.358,327
matrix_mul_3,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,9.426,0.406,328
matrix_mul_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,10.039,0.370,327
matrix_mul_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,11.601,0.826,327
tree_50-50-5,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,9.271,0.423,296
tree_50-50-10,18.0,0.0,0.0,2.0,0.0,15.0,15.0,5.0,18.170,2.576,197
tree_100-50-5,13.0,0.0,0.0,3.0,0.0,8.0,13.0,5.0,12.428,1.467,200
tree_100-50-10,511.0,0.0,0.0,2.0,0.0,509.0,16.0,8.0,148.398,83.030,35
tree_100-100-5,1.0,0.0,0.0,5.0,0.0,4.0,10.0,4.0,11.152,0.697,228
tree_100-100-10,1.0,0.0,0.0,2.0,0.0,256.0,12.0,9.0,91.627,36.777,62
